VideoID	Labelled
5758fd36d48d0815a4f6b353	False
5758f3e151ac842181db7253	False
5758fcb7d48d0815a4f6b0c3	False
5758dafb51ac842068292f64	False
57501428d48d086bade7c164	False
5758f39d51ac842181db6fa6	False
5758a1a3d48d080e08b016f1	False
5758f40251ac842181db736d	False
5758a1b9d48d080e08b01767	False
574852f9d48d0801f10fcf4f	False
5748e449d48d080aaede53d7	False
5758fa0f51ac8421ccf551f8	False
5758fcb5d48d0815a4f6b0ae	False
574c3003d48d0833e6740d27	False
5758fcded48d0815a4f6b1b1	False
5758ff22d48d0815a4f6bddc	False
5758f9c451ac8421ccf54f1b	False
5758f40251ac842181db7371	False
574703cad48d086c1e189884	False
5758f94e51ac8421ccf54c8d	False
5758daf951ac842068292f60	False
5758fe38d48d0815a4f6b8f1	False
5758fc10d48d0815a4f6ace9	False
574ece54d48d085b18f33120	False
5758f9a951ac8421ccf54e8c	False
574910ced48d080cabf362eb	False
5758ff7cd48d0815a4f6c03d	False
57470625d48d086c4552de8d	False
574ece56d48d085b18f33121	False
5758fea9d48d0815a4f6bba1	False
57473505d48d086f909d1788	False
574f6db5d48d086352ef6a5d	False
5758fa1151ac8421ccf55229	False
57486a62d48d0802f8ec3416	False
57501428d48d086bade7c163	False
5758fc86d48d0815a4f6b013	False
574844e6d48d08013d757bfc	False
57475381d48d0871afde5279	False
5758f91651ac8421ccf54b75	False
574f1e4bd48d085f5a1bd924	False
5758fdfed48d0815a4f6b7ca	False
574b0fbbd48d08262a0dff8c	False
57472ba7d48d086edcf48ed3	False
5758daab51ac842068292c94	False
5758fd9fd48d0815a4f6b568	False
5758fa1051ac8421ccf55208	False
574d98f5d48d0848699a16e1	False
5758f84e51ac8421ccf548e9	False
5759bcdfd48d0828044e941c	False
5758daef51ac842068292f15	False
574be9b3d48d083099e42583	False
5758a1aed48d080e08b0172f	False
57476d41d48d087372479e9b	False
574881d3d48d0804f89e4697	False
5758f3cb51ac842181db7229	False
57474eced48d087164ec4453	False
5758fdc3d48d0815a4f6b64f	False
5758fc7ed48d0815a4f6afe5	False
57592298d48d081bc1fc0a3b	False
57490067d48d080bed3fd331	False
5758ffc7d48d0815a4f6c1ba	False
5758fa0e51ac8421ccf551d3	False
57470ad6d48d086c967decce	False
574faabdd48d0866820285f4	False
5758db0f51ac842068292ff8	False
5758fd70d48d0815a4f6b465	False
5758f5be51ac842193363c36	False
57476892d48d08732ee590a7	False
5758f59451ac842193363b0f	False
5758f3ce51ac842181db7239	False
5758fdcbd48d0815a4f6b6a2	False
5758fb88d48d0815a4f6a88f	False
57471b45d48d086db1783f3f	False
5746a606d48d08656268a686	False
5758f3a751ac842181db70a1	False
5759b5cfd48d08277ba87fbb	False
5758f56951ac84219336394f	False
5758f91651ac8421ccf54b74	False
5748bec8d48d0808ec3260e6	False
5758f29451ac842150267362	False
5758f91651ac8421ccf54b71	False
57500618d48d086b10260faf	False
5758fa1051ac8421ccf55215	False
5758f9ed51ac8421ccf5503e	False
5758f95651ac8421ccf54cb9	False
5758f9e851ac8421ccf54fd2	False
5758f91651ac8421ccf54b70	False
5758ff79d48d0815a4f6c02a	False
5759236fd48d081bc1fc1124	False
5758f91651ac8421ccf54b6c	False
5758f9e751ac8421ccf54fb0	False
5758f58e51ac842193363ac7	False
5759000fd48d0815a4f6c335	False
57467f16d48d0861fab829c9	False
5758fc6dd48d0815a4f6af8d	False
5758f9c151ac8421ccf54f01	False
57478005d48d087442763a3b	False
574b84e9d48d082b64614ee8	False
5758f3bd51ac842181db70e0	False
5758f40651ac842181db73a8	False
5758f8a251ac8421ccf549fd	True
5758f84951ac8421ccf548cd	True
5758f84351ac8421ccf548b6	True
57467df8d48d0861fab82410	True
5758dadb51ac842068292e7c	True
5758f5a051ac842193363b7a	True
5758f96a51ac8421ccf54cea	True
5758f96b51ac8421ccf54ceb	True
5758f39851ac842181db6f3d	True
5758f8a251ac8421ccf549fa	True
5758f96b51ac8421ccf54ced	True
5758f8a251ac8421ccf549ff	True
5758dad951ac842068292e5d	True
5758f8a351ac8421ccf54a04	True
5759230fd48d081bc1fc0e37	True
5758f39751ac842181db6f17	True
5758f97951ac8421ccf54d5a	True
5758f91651ac8421ccf54b6f	True
5758fa0551ac8421ccf550f8	True
5758f8a351ac8421ccf54a05	True
5758f41751ac842181db73b6	True
5758daa951ac842068292c71	True
5758f92351ac8421ccf54b96	True
5758f96b51ac8421ccf54cf8	True
5758f8a351ac8421ccf54a03	True
5758a19ed48d080e08b016d1	True
5758f96b51ac8421ccf54cf3	True
5758f41851ac842181db73bf	True
5758f96b51ac8421ccf54cf0	True
5758daab51ac842068292c9b	True
5758dada51ac842068292e63	True
5758f8a751ac8421ccf54a0b	True
5758a1a9d48d080e08b01713	True
5758f96b51ac8421ccf54cfa	True
5758f41851ac842181db73c5	True
5758f96b51ac8421ccf54cfe	True
5758f96b51ac8421ccf54cee	True
5758daaa51ac842068292c7c	True
5758f41751ac842181db73b3	True
5758f93e51ac8421ccf54c19	True
5758f41751ac842181db73b9	True
5758f91651ac8421ccf54b73	True
5758f3bb51ac842181db70c7	True
5758f8a351ac8421ccf54a09	True
5758f41b51ac842181db73cb	True
5758f3e051ac842181db7244	True
5758f91e51ac8421ccf54b79	True
5758dadb51ac842068292e7d	True
5758f8a351ac8421ccf54a08	True
5758f8a251ac8421ccf54a02	True
